CSP_ID	SCORED_TICKETS	WITHIN_TAT	BREACHED	KAPTURE_FIRST_ANY	SYNC_LOSS	UNFAIR_BREACH
a0b6q8	12	10	2	4	0	0
a0b6o3	12	12	0	0	0	0
a0b5p1	12	9	3	1	0	0
a0b7c7	12	11	1	0	0	0
a0b9j8	11	10	1	0	0	0
a0b5p5	11	3	8	4	0	0
a0b5p3	11	10	1	0	0	0
a0b7c0	11	9	2	2	0	0
a0b5t0	11	11	0	0	0	0
a0b9z5	11	8	3	2	0	0
a0b5v5	11	11	0	2	0	0
a0b5z1	11	7	4	0	0	0
a0b6b2	11	11	0	0	0	0
a0b7f7	11	1	5	7	0	0
a0b6r3	11	6	5	4	0	0
a0b5u3	11	6	4	2	0	0
a0b8p4	11	9	2	2	0	0
a0b8u1	11	1	2	8	0	0
a0b6l8	11	8	3	1	0	0
a0b6o7	11	11	0	0	0	0
a0a7a0	11	10	1	1	0	0
a0b6k0	11	7	4	0	0	0
a0b9p8	11	0	8	7	0	0
a0b5v1	10	3	4	6	0	0
a0b6z1	10	1	5	7	0	0
a0c0i3	10	0	0	10	1	0
a0b9x4	10	4	1	5	0	0
a0b9l7	10	10	0	0	0	0
a0c0f3	10	9	1	0	0	0
a0b9z2	10	5	5	3	0	0
a0b9c2	10	0	0	10	0	0
a0b6z3	10	10	0	0	0	0
a0a7g3	10	9	1	0	0	0
a0b5r9	10	10	0	2	0	0
a0b6k2	10	2	8	5	0	0
a0b9z1	10	3	7	2	0	0
a0b5z8	10	0	0	10	1	0
a0b6t8	10	5	5	3	0	0
a0b6d2	10	8	2	0	0	0
a0b9x3	10	7	3	0	0	0
a0c0c3	9	7	2	1	0	0
a0b9i1	9	9	0	0	0	0
a0c0j1	9	0	1	9	0	0
a0b6s0	9	1	2	7	2	0
a0b8o7	9	3	6	0	0	0
a0b1g8	9	7	2	0	0	0
a0b5o7	9	0	0	9	0	0
a0b5o8	9	2	7	3	0	0
a0b9o1	9	8	1	1	0	0
a0a7c3	9	8	1	0	0	0
a0a6y6	9	9	0	0	0	0
a0b1u5	9	7	2	0	0	0
a0b5y4	9	3	4	2	0	0
a0b9i5	9	6	3	0	0	0
a0b5u4	9	5	4	1	0	0
a0b9x6	9	9	0	0	0	0
a0c0b3	9	0	0	9	0	0
a0b9o7	9	0	4	5	0	0
a0b6g9	9	9	0	1	0	0
a0b9y6	8	5	3	4	0	0
a0b9c6	8	6	2	0	0	0
a0b8t4	8	0	0	8	0	0
a0b9j6	8	6	2	0	0	0
a0a7e1	8	4	3	3	0	0
a0b7f4	8	2	6	1	0	0
a0b9u1	8	0	0	8	0	0
a0c0f9	8	0	0	8	1	0
a0a7c4	8	0	0	8	1	0
a0b7f9	8	0	0	8	0	0
a0a7f3	8	1	7	0	0	0
a0b8u4	8	1	6	4	0	0
a0b7a4	8	5	3	1	0	0
a0b8q9	8	0	0	8	0	0
a0b1s1	7	6	1	0	0	0
a0b9m8	7	6	1	0	0	0
a0b8r1	7	0	7	7	0	0
a0b6s4	7	2	5	3	0	0
a0c0f4	7	3	4	2	0	0
a0b8r4	7	7	0	0	0	0
a0b9n4	7	0	0	7	1	0
a0b9h4	7	5	2	1	0	0
a0c0b7	7	3	4	0	0	0
a0c0d6	7	6	1	1	0	0
a0c0g3	7	7	0	1	0	0
a0b7i9	7	4	3	2	0	0
a0c0e0	7	3	4	1	0	0
a0b9b6	7	2	2	4	0	0
a0b8y2	7	4	2	1	0	0
a0b5z7	7	2	2	4	0	0
a0b7h3	7	5	2	0	0	0
a0b5t7	7	0	7	2	0	0
a0b5t5	7	0	5	6	0	0
a0b6a1	7	6	0	0	0	0
a0c0e4	7	5	2	0	0	0
a0b7d2	7	2	2	4	0	0
a0b7f1	7	4	3	0	0	0
a0b5n1	7	4	3	0	0	0
a0b9i2	7	5	2	0	0	0
a0b6p7	7	7	0	0	0	0
a0b7d1	7	2	4	2	0	0
a0b9k8	7	2	5	4	0	0
a0b9t5	6	4	2	1	0	0
a0b7e1	6	2	4	2	0	0
a0b2v8	6	0	6	4	0	0
a0b7e9	6	0	5	1	0	0
a0b7j1	6	6	0	0	0	0
a0b6q7	6	6	0	0	0	0
a0b6s5	6	5	1	0	0	0
a0b6x4	6	5	1	0	0	0
a0b9q3	6	0	5	4	0	0
a0b6s8	6	6	0	0	0	0
a0b9x1	6	3	3	1	0	0
a0b6d4	6	6	0	0	0	0
a0b7i1	6	1	5	0	0	0
a0b5l7	6	4	2	0	0	0
a0b5p9	6	5	1	0	0	0
a0b6g0	6	0	0	6	0	0
a0b5q4	6	6	0	1	0	0
a0b6r9	6	5	1	0	0	0
a0c0j3	6	0	4	6	1	0
a0b7f8	6	2	4	3	0	0
a0c0a7	6	2	4	3	0	0
a0b8z2	6	4	2	0	0	0
a0c0h0	6	0	5	1	0	0
a0b9d4	6	5	1	1	0	0
a0b6r8	6	4	2	0	0	0
a0b9c3	5	1	1	3	0	0
a0b9d2	5	5	0	0	0	0
a0b6n3	5	1	3	1	0	0
a0c0e7	5	0	5	1	0	0
a0b6l1	5	4	1	1	0	0
a0a6z3	5	5	0	0	0	0
a0b6a8	5	5	0	1	0	0
a0c0e5	5	4	1	0	0	0
a0b5n5	5	5	0	0	0	0
a0b6w4	5	2	3	2	0	0
a0a7e0	5	2	3	0	0	0
a0a7f0	5	5	0	0	0	0
a0b6m2	5	3	2	1	0	0
a0b9g4	5	2	3	0	0	0
a0b9c7	5	0	0	5	0	0
a0b5s9	5	0	0	5	0	0
a0b7d3	5	3	0	2	1	0
a0c0j0	5	2	0	3	0	0
a0b9f7	5	3	2	1	0	0
a0a9j4	4	4	0	0	0	0
a0c0c4	4	3	1	0	0	0
a0b8z3	4	2	2	0	0	0
a0c0h1	4	3	1	0	0	0
a0c0c5	4	3	1	1	0	0
a0c0a3	4	0	0	4	0	0
a0b6x7	4	1	3	1	0	0
a0b8o5	4	2	2	0	0	0
a0b9d7	4	0	0	4	0	0
a0c0e9	4	4	0	0	0	0
a0b9f4	4	4	0	0	0	0
a0b6e6	4	0	1	4	0	0
a0b7b8	4	2	2	2	0	0
a0b9f5	4	0	0	4	0	0
a0b9w9	4	3	1	0	0	0
a0c0d1	4	3	1	1	0	0
a0a7d2	4	1	0	3	0	0
a0b6j3	4	1	2	2	0	0
a0b9o0	4	3	1	1	0	0
a0b6g6	4	3	1	0	0	0
a0b6m7	4	3	1	0	0	0
a0b9d3	3	1	2	0	0	0
a0c0j2	3	2	1	1	0	0
a0b9n1	3	3	0	0	0	0
a0b6o0	3	3	0	0	0	0
a0c0h9	3	0	0	3	0	0
a0b5z5	3	3	0	0	0	0
a0b9s3	3	0	0	3	0	0
a0a6y8	3	1	2	1	0	0
a0c0i9	3	0	0	3	0	0
a0a6y7	3	0	0	3	1	0
a0b9o9	3	1	2	1	0	0
a0b8y4	3	0	0	3	0	0
a0b9j4	3	3	0	0	0	0
a0b5p8	3	2	1	1	0	0
a0b5l8	3	1	2	0	0	0
a0b6o6	3	0	3	3	0	0
a0b5r0	3	0	2	3	0	0
a0b6u5	3	3	0	0	0	0
a0b8p6	3	1	2	1	0	0
a0b9c9	3	2	1	0	0	0
a0c0a9	3	0	3	0	0	0
a0b9k5	3	0	0	3	0	0
a0b9g5	2	2	0	0	0	0
a0b9s2	2	2	0	0	0	0
a0b7a0	2	0	0	2	0	0
a0b5o3	2	2	0	0	0	0
a0b9w3	2	2	0	0	0	0
a0a7d6	2	0	2	2	0	0
a0b8p1	2	2	0	0	0	0
a0b6i3	2	0	0	2	0	0
a0b9q6	2	0	0	2	0	0
a0b2o2	2	1	1	0	0	0
a0b9o3	2	1	1	1	0	0
a0b8v1	2	0	0	2	0	0
a0b8u0	2	0	0	2	0	0
a0b9z9	2	0	2	1	0	0
a0b6m8	2	0	0	2	0	0
a0b8p9	2	0	1	2	0	0
a0b5s3	2	0	1	1	0	0
a0b6n8	2	1	1	0	0	0
a0b6g8	2	0	0	2	0	0
a0a9a9	2	1	1	0	0	0
a0b9r7	2	0	2	0	0	0
a0a7g4	2	0	1	1	0	0
a0c0b4	2	2	0	0	0	0
a0b8q0	2	0	0	2	0	0
a0b9p6	2	0	0	2	1	0
a0b9n9	2	2	0	0	0	0
a0b9j2	2	0	0	2	1	0
a0b6a0	2	0	0	2	0	0
a0b8s2	2	0	0	2	0	0
a0a6z9	2	0	0	2	0	0
a0b9i7	2	1	0	1	0	0
a0b6i7	2	2	0	0	0	0
a0b6f4	2	0	2	2	0	0
a0b8x9	2	0	0	2	0	0
a0b9s1	2	0	0	2	0	0
a0b6d9	2	1	1	1	0	0
a0b8s9	2	0	0	2	0	0
a0b5p6	2	0	2	1	0	0
a0b6t2	1	0	1	0	0	0
a0b5w3	1	0	1	0	0	0
a0b6x6	1	1	0	0	0	0
a0b9r1	1	0	0	1	0	0
a0b9h1	1	1	0	0	0	0
a0b9s0	1	1	0	0	0	0
a0b9s8	1	1	0	0	0	0
a0b9d6	1	0	1	1	0	0
a0c0i8	1	0	0	1	0	0
a0b8u8	1	1	0	0	0	0
a0b9u3	1	0	0	1	0	0
a0b5v0	1	1	0	0	0	0
a0c0d4	1	0	0	1	0	0
a0b8x8	1	0	0	1	0	0
a0b7f5	1	1	0	0	0	0
a0a7a1	1	0	0	1	0	0
a0b9i4	1	0	1	1	0	0
a0b5w9	1	0	0	1	0	0
a0b6q1	1	0	1	1	0	0
a0b5y2	1	0	1	0	0	0
a0b8q5	1	0	1	1	0	0
a0b9f0	1	0	0	1	0	0
a0b8t7	1	0	1	0	0	0
a0c0b2	1	0	0	1	0	0
a0b9m0	1	0	0	1	1	0
a0b7b0	1	0	0	1	0	0
a0b6g3	1	0	0	1	0	0
a0b9p0	1	0	1	0	0	0
a0b9e6	1	0	0	1	0	0
a0a9d4	1	1	0	0	0	0
a0b8x2	1	0	1	0	0	0
a0b9x9	1	1	0	0	0	0
a0c0i1	1	0	1	1	0	0
a0b5r6	1	0	0	1	0	0
a0b6e1	1	0	0	1	0	0
a0a7c2	1	0	1	0	0	0
a0b9h0	1	0	0	1	1	0

[969 rows]
