CSP_ID	SCORED_TICKETS	WITHIN_TAT	BREACHED	KAPTURE_FIRST_ANY	SYNC_LOSS	UNFAIR_BREACH
a0b7i6	34	28	6	3	1	1
a0b7h1	33	12	21	8	1	1
a0b6h6	33	10	23	16	1	1
a0b5q5	32	26	6	2	1	1
a0b5m8	32	20	12	1	1	1
a0b9t0	30	17	13	9	1	1
a0b8v0	30	18	12	7	1	1
a0b9z7	29	12	17	3	1	1
a0a6z2	29	22	7	4	1	1
a0c0h8	28	12	16	3	1	1
a0c0f7	27	5	21	3	1	1
a0b7b9	26	22	4	2	1	1
a0b5y7	26	22	4	2	1	1
a0b6d1	25	10	15	6	1	1
a0c0d3	24	0	10	23	1	1
a0b7d6	23	16	7	3	1	1
a0b9m2	22	8	14	9	1	1
a0c0c6	21	12	9	6	1	1
a0b7f0	21	12	9	6	1	1
a0c0d7	20	15	5	3	1	1
a0a7e9	19	10	9	2	1	1
a0b6e2	19	12	7	2	1	1
a0b6x1	19	16	3	2	1	1
a0a7d8	18	12	6	3	1	1
a0b7h6	18	0	9	17	2	1
a0c0h4	17	5	12	9	1	1
a0b7d8	17	15	2	1	1	1
a0b6j8	16	15	1	1	1	1
a0b9u0	16	10	6	4	1	1
a0b7b1	16	7	9	6	1	1
a0b6u6	15	5	10	5	1	1
a0b9h7	15	2	9	7	1	1
a0b6x3	15	10	5	3	1	1
a0b9u5	14	9	5	1	1	1
a0a7d1	14	7	7	2	1	1
a0b5x4	14	0	2	13	1	1
a0b6u3	12	4	7	4	1	1
a0b6r6	12	6	6	5	1	1
a0b9v0	12	10	2	1	1	1
a0b8v6	11	3	8	5	1	1
a0a7c6	11	1	9	7	1	1
a0b9f3	10	2	8	4	1	1
a0b8v2	10	4	6	1	1	1
a0c0e8	9	0	9	3	1	1
a0c0i6	9	2	7	6	1	1
a0b6i2	8	1	6	4	1	1
a0b6n2	6	1	5	3	1	1
a0b7h2	6	2	3	5	1	1
a0b6b6	5	0	5	4	1	1
a0b5m9	4	2	2	1	1	1
a0a9s3	2	1	1	1	1	1
a0b6y0	1	0	1	1	1	1
a0b7f6	387	334	52	8	0	0
a0b8v8	305	297	8	10	0	0
a0b8z7	300	285	15	7	0	0
a0b9l1	277	270	7	5	0	0
a0b8w2	228	214	14	7	0	0
a0b7g7	210	182	28	4	0	0
a0b6b4	209	176	32	9	0	0
a0b6c9	208	185	23	7	0	0
a0a7e4	205	182	23	12	0	0
a0b6c6	204	148	56	7	0	0
a0b6f6	198	148	44	10	0	0
a0b6r5	196	73	4	121	6	0
a0b5u7	182	172	10	7	0	0
a0b6x9	179	175	4	6	0	0
a0b9w5	178	158	20	2	0	0
a0a7b9	173	141	32	3	0	0
a0b6j1	169	143	26	5	0	0
a0b8y8	167	153	13	5	0	0
a0b8r0	166	144	22	6	0	0
a0b9y2	154	142	12	5	1	0
a0b6x8	148	145	3	7	0	0
a0c0a0	148	133	15	1	0	0
a0b8x4	147	124	23	6	0	0
a0a7a3	142	139	3	6	1	0
a0b8o9	137	117	20	1	0	0
a0b6t9	132	127	4	4	0	0
a0b9i3	130	117	13	2	1	0
a0b5v6	128	110	18	1	0	0
a0b6x5	122	121	1	4	1	0
a0b6y1	121	79	42	7	0	0
a0b8v5	121	119	2	8	0	0
a0a7c1	119	119	0	3	1	0
a0b9k1	118	115	3	2	0	0
a0b8y9	118	101	17	6	0	0
a0b5x8	118	105	13	3	0	0
a0b8w6	113	109	4	8	0	0
a0b5v3	110	72	38	13	0	0
a0b9a8	109	104	5	4	0	0
a0a7g5	108	106	2	6	0	0
a0a7b8	106	99	7	6	0	0
a0b9y4	103	94	9	4	0	0
a0b6y6	101	94	7	3	0	0
a0b9s6	101	98	3	3	0	0
a0b3l5	100	98	2	2	0	0
a0b5s4	100	100	0	3	0	0
a0a7a4	98	85	13	2	0	0
